ticker,date,quantity,avg_price,currency
AAPL,2025-04-10,6.091628,190.42,USD
TCS,2025-04-17,21.219195,3298.90,INR
MSFT,2025-05-09,2.647825,438.73,USD
INFY,2025-05-20,41.650648,1560.60,INR
NVDA,2025-06-06,9.449031,141.72,USD
HDFCBANK,2025-06-25,40.399961,990.10,INR
JPM,2025-07-08,3.293735,282.78,USD
RELIANCE,2025-07-24,24.948321,1402.90,INR
XOM,2025-08-12,8.598607,106.13,USD
SUNPHARMA,2025-09-03,19.002978,1578.70,INR
JNJ,2025-10-10,4.425194,190.72,USD
HINDUNILVR,2025-11-14,12.357376,2427.70,INR
PG,2025-12-09,6.356849,139.63,USD
